Resource,Creator,Type,Subtype,Description,STEM Yes/No,Link
Data to Power Your Advocacy,Public Health & Equity Resource Navigator,Database,Local policy,"(PHERN) is an online hub. It helps changemakers find data, tools, and stories to support public health and equity advocacy. The American Public Health Association, the Alliance for the Public's Health, and the Institute for People, Place, and Possibility run the platform.",Yes,https://phern.communitycommons.org/advocacy/taking-action-advocacy-for-public-health/advancing-public-health-policies/advancing-policies-for-environmental-health-and-climate-resilience/
Public Health & Equity Resource Navigator,Public Health & Equity Resource Navigator,Database,Local policy,"featuring over 3,000 curated tools, articles, and learning paths. It helps public health workers and changemakers find equitable strategies for community health, partnership building, and sustainable public health systems.",Yes,https://phern.communitycommons.org/
Mapping the Impacts of Science Funding Cuts,Science & Community Impacts Mapping Project (SciMap),Database,Local policy,"A data tool and initiative that tracks and visualizes the local and national consequences of federal funding cuts to science and medical research. It highlights how reductions in federal investments affect communities, universities, and health programs.",Yes,https://scienceimpacts.org/
Attacks on Science Tracker,Union of Concerned Scientists (UCS),Database,Federal policy,"A public online tool created by the Union of Concerned Scientists (UCS) to document political interference, censorship, funding cuts, and rollbacks affecting federally supported science and evidence-based decision-making.",Yes,https://app.powerbi.com/view?ucsdf=attacksonscience.org&r=eyJrIjoiYjdiM2M1ZWUtYjljYS00ODQyLTliYzAtMWFhNjk4OGYxZjdkIiwidCI6ImJjZTQxNzViLTZjOTYtNGI0ZC1hZjc1LTBmMWJjZDI0NjY3NyIsImMiOjN9
APHA Policy Action Institute,American Public Health Association (APHA),Event,Educational events,"An annual multi-day event hosted by the American Public Health Association (APHA). It brings together public health professionals, policymakers, and advocates to discuss federal health policy, build advocacy skills, and navigate changing political and legislative landscapes.",Yes,https://www.apha.org/events-and-meetings/policy-action-institute
Civics 101,Engineers and Scientists Acting Locally (ESAL),Educational information,,"From managing growth in the face of climate change to regulating driverless vehicles, local governments and communities must address a breadth of STEM-related policy issues. Despite these challenges, city, county, and state governments often lack the technical resources and expertise needed to assess the science and technology dimensions of issues. You can help fill this gap. Get started by learning more about how local government structures and processes.",Yes,https://esal.us/civics-101/
ESAL Civic Engagement Infographics,Engineers and Scientists Acting Locally (ESAL),Educational information,,"Instructional content, guides, and visual infographics (such as civic engagement checklists and local action roadmaps) to simplify how technical experts interface with civic processes.",Yes,https://esal.us/infographics/
AGU Day of Action,Advancing Earth and Space Sciences (AGU),Event,Webinars,"AGU Days of Action and their associated webinars are organized by AGU (Advancing Earth and Space Sciences, formerly the American Geophysical Union). They provide training, tools, and community frameworks for Earth and space scientists to engage effectively in science policy, advocate for research funding, and communicate the societal value of science to the public and legislators.",Yes,https://www.agu.org/science-policy/days-of-action
Policy workshops,Scholars Strategy Network (SSN),Event,Workshops,"Interactive training sessions designed to help academic researchers translate complex data into clear, jargon-free language and effectively engage with lawmakers, journalists, and civic leaders.",No,https://scholars.org/policyworkshops
Science Votes the Future: Webinar Series,Advancing Earth and Space Sciences (AGU),Event,Webinars,"is a nonpartisan civic engagement and get-out-the-vote initiative launched by the American Geophysical Union (AGU). Its integrated webinar series and resource hub educate scientists, researchers, and STEM students on how to vote, understand election rules, and advocate for science-backed policies during election seasons.",Yes,https://sciencevotesthefuture.org/
Speak for Health: State-by-State,American Public Health Association (APHA),Fact sheets,,Downloadable PDFs that show how public health funding and specific health threats impact individual states.,Yes,https://www.apha.org/policy-and-advocacy/advocacy-for-public-health/speak-for-health/state-fact-sheets
Heat Organizing Toolkit,National Council for Occupational Safety and Health (NCOSH),Fact sheets,,"Through the Fired Up! Workers for Heat Justice campaign, National COSH helps workers and communities build collective power against unsafe working conditions due to extreme heat. From know-your-rights resources to a heat safety trainers’ facilitation guide, this toolkit is designed to supercharge workers’ campaigns for heat safety at every level. All resources are available for free as digital downloads below or can be purchased for print and delivery directly to your door.",Yes,https://nationalcosh.org/heat-organizing-toolkit
AGU Resource Guide for Science Communication,Advancing Earth and Space Sciences (AGU),Fact sheets,,"Guides to how to communicated science to a broader audience, factsheets, webinars, and Toolbox.",Yes,https://www.agu.org/resource-center#catalog
SUFS Micoflyer,Stand up for Science (SUFS),Flyers,,"Activists leave these slips in everyday public spots like waiting rooms, bus seats, and restrooms to share messaging and push back against political interference in research.",Yes,https://www.standupforscience.net/microflyering
An Exploration of Individual and Collective Practices for Community-Based Leaders in Times of Transition,American Public Health Association (APHA),Guide,Community based engagement,"A guidebook released by ProInspire in partnership with the American Public Health Association (APHA). It equips environmental justice and community leaders with tools, inner wisdom, and racial equity frameworks to navigate systemic change.",Yes,https://www.apha.org/getcontentasset/333d08f3-c766-49ab-b22b-f5a1096998ee/7ca0dc9d-611d-46e2-9fd3-26a4c03ddcbb/apha_proinspire_workbook_english.pdf?language=en
Tree City USA,Arbor Day Foundation,Guide,Community based engagement,"Tree City USA is a national recognition program by the Arbor Day Foundation that helps towns and cities manage and grow their public trees. Started in 1976, it gives local governments a simple framework to protect green spaces and improve community health",No,https://www.arborday.org/our-work
Write an Op-Ed,American Public Health Association (APHA),Guide,Communication,"A communication assignment or advocacy campaign where you write a persuasive opinion piece on a public health issue. The goal is to influence public opinion, educate readers, and prompt policy action in local or national media.",Yes,https://www.apha.org/getcontentasset/5c445c81-8257-45e1-9bd8-b67461779335/7ca0dc9d-611d-46e2-9fd3-26a4c03ddcbb/oped_tips.pdf?language=en
Speak For Health,American Public Health Association (APHA),Guide,Communication,Guide to speaking up at town halls,Yes,https://www.apha.org/getcontentasset/008b4f8d-6705-4821-8bba-56e22bbf24ca/7ca0dc9d-611d-46e2-9fd3-26a4c03ddcbb/260731_s4h_public_forum_questions.pdf?language=en
Communications Strategies For Social Justice,American Public Health Association (APHA),Guide,Communication,"Apractical guide designed to help equity-focused organizations build inclusive messaging, design communication plans, and motivate community action",Yes,https://www.apha.org/getcontentasset/05f6a899-5789-4e9c-b9af-126be53a42aa/7ca0dc9d-611d-46e2-9fd3-26a4c03ddcbb/communicationsstrategiesforsocialjustice_final.pdf?language=en
A Pocket Guide for Scientists: The First Amendment,Climate Science Legal Defense Fund,Guide,Advocacy,Guide so scientists can make informed decisions about how to safely and effectively participate in advocacy and activism.,Yes,https://www.csldf.org/resource/first-amendment/
A Pocket Guide for Scientists: Participating in Political Campaigns and Elections,Climate Science Legal Defense Fund,Guide,for how government employees can communicate,"This guide helps scientists, particularly those employed by federal agencies, understand how to participate in political campaigns and elections, and what restrictions on political activity might affect them. It includes general best practices, guidelines for different groups of scientists, and a Frequently Asked Questions section to address specific concerns.",Yes,https://www.csldf.org/resource/participating-in-political-campaigns-elections/
Know Your Rights: Scientific Activism and Protests,Climate Science Legal Defense Fund,Guide,for how researchers can communicate,"This guide is intended to help researchers safely engage in advocacy and protests, and understand whether their activities are constitutionally protected.",Yes,https://www.csldf.org/resource/know-your-rights-scientific-activism-and-protests/
How To: Best Practices for Being Interviewed by Reporters,Scholars Strategy Network (SSN),Guide,Communication,Downloadable tip sheet and resource published by SSN to help scholars communicate effectively with the media.,No,https://scholars.org/resource/how-best-practices-being-interviewed-reporters
Local Engagement Playbook,Engineers and Scientists Acting Locally (ESAL),Guide,Community based engagement,"Curated resources and step-by-step guides designed to help STEM professionals navigate local government, tackle community issues, and apply their technical expertise to municipal, county, and state civic life.",Yes,https://esal.us/playbook/
Vote for Health,American Public Health Association (APHA),Guide,Voting,APHA’s Vote for Health campaign seeks to simplify the voting process for the public and shine a light on the impact voting has on our health. We have curated a collection of resources for your assistance.,Yes,https://www.apha.org/what-is-public-health/vote-for-health#toolkit
The Do'ers Toolkit,Do Something,Guide,Community based engagement,Basic steps to kick off a local volunteer project or community service campaign.,No,https://dosomething.org/article/volunteering-ideas-to-help-the-environment
The Local Civic Engagement Toolkit,Engineers and Scientists Acting Locally (ESAL),Guide,Community based engagement,"""The Toolkit"" is for anyone with a STEM background wondering how they can take action in their local communities. If you have ever wondered how you can plug-in to your community, or how you can use your STEM skills to support local efforts, this course is for you.",Yes,https://esal.us/local-civic-engagement-toolkit/
Local Policy Toolbox,National Center for Healthy Housing,Guide,Community based engagement,"A digital collection of resources and technical assistance materials. It is designed to help local communities, advocates, and government leaders improve housing policies, enforce safe building standards, and prevent environmental health hazards like lead poisoning",No,https://nchh.org/tools-and-data/technical-assistance/lead-legal-strategies-partnership/local-policy-toolbox/
Campus Reps Program,Climate Science Legal Defense Fund,Legal resource,,"This initiative engages law professors in helping scientists understand how to protect themselves from harassment and legal attacks. We created the program with the goal of building a national network of lawyers at public and private universities who can serve as the first point of contact for researchers with questions about legal issues. Campus Reps do not provide direct representation to researchers, but serve as an educational resource and refer scientists to us as needed.",Yes,https://www.csldf.org/resource/campus-reps-program/
Legal Resource Center (for government employees),Public Employees for Environmental Responsibility,Legal resource,,"PEER’s work includes representing whistleblowers, protecting government workers’ First Amendment rights, and upholding civil service laws. We also work with government employees, usually anonymously, to address issues through official channels and to bring hidden information into the light of day. In addition, we file complaints with Inspector Generals and other investigatory bodies to further the interests of our clients.",Yes,https://peer.org/state-and-federal-watch/
Legal services,Climate Science Legal Defense Fund,Legal resource,,"Free, confidential counseling services are available to scientists from all disciplines dealing with harassment or legal intimidation. They also help those who find themselves involved in legal discussions about their work, correspondence, public statements, or science advocacy.",Yes,https://www.csldf.org/legal-services/
Activism & Advocacy Toolkit,Climate Science Legal Defense Fund,Legal resource,,"Climate Science Legal Defense Fund is a free online legal resource. It helps researchers and scientists understand how to safely speak out, protest, and engage in public policy or advocacy without risking their jobs or facing legal trouble.",Yes,https://www.csldf.org/resource/activism-and-advocacy/
Climate Litigation Toolkit,Climate Science Legal Defense Fund,Legal resource,,The free legal resources in our Climate Litigation Toolkit explain the best practices for safely and effectively engaging in climate litigation and other scientific consulting work.,Yes,https://www.csldf.org/resource/climate-litigation-toolkit/
Political Action Toolkit,Climate Science Legal Defense Fund,Legal resource,,The free legal resources in our Political Action Toolkit explain the best practices for safely and effectively engaging in political advocacy.,Yes,https://www.csldf.org/resource/political-action-toolkit-draft/
Climate Science Legal Defense Fund Resources,Climate Science Legal Defense Fund,Legal resource,,Free educational resources to help scientists understand and tackle the risks they may face as a result of their work,Yes,https://www.csldf.org/resources/
Letters to the Editor,Earth Justice,Letter writing,Op-ed writing,"Letters to the editor are a simple but effective way for concerned community members to make their voices heard, to highlight how big-picture policies connect to life on the ground, and to influence decision-makers who monitor local sentiment. Elected officials, newspaper editors, and community leaders regularly review these sections to gauge public opinion, making it an ideal platform for spotlighting environmental harms and championing solutions.",Yes,https://earthjustice.org/wp-content/uploads/2025/08/letter-to-the-editor-memo.pdf
Voter Voice,American Thoracic Society (ATS),Letter writing,Policy Maker Outreach and/or comment writing,"Voter Voice is an online advocacy tool provided by the American Thoracic Society (ATS). It lets members and the public contact elected leaders easily. Users take action on laws and rules that affect lung health, sleep disorders, and critical care medicine.",Yes,https://site.thoracic.org/advocacy-patients/advocacy/voter-voice
Letters to the Editor,American Lung Association (ALA),Letter writing,Op-ed writing,"Offers guidance and toolkits to help advocates draft, format, and submit impactful opinion pieces to local newspapers.",Yes,https://www.lung.org/policy-advocacy/take-action/letters-to-the-editor
Action Alerts,American Public Health Association (APHA),Letter writing,Policy Maker Outreach and/or comment writing,Pre-written messages and advocacy tools sent to members. They make it simple to contact elected officials and urge support for science-based public health laws.,Yes,https://www.apha.org/policy-and-advocacy/advocacy-for-public-health/action-alerts
Take Action,Indivisible,Letter writing,Policy Maker Outreach and/or comment writing,Search by zip code or address to find the actions that’ll have the most impact based on your state and federal elected officials.,No,https://indivisible.org/get-involved/take-action/?sort=newest&act_address=
Vote Forward,Vote Forward,Letter writing,Letter writing to voters,"Vote Forward is a nonpartisan, non-profit organization that empowers volunteers to send personalized, handwritten letters to civic-minded and historically underrepresented voters to boost voter turnout.",No,https://votefwd.org/
Environmental Justice Leadership Forum,We Act for Environmental Justice,Letter writing,Policy Maker Outreach and/or comment writing,"WE ACT facilitates the Environmental Justice Leadership Forum (EJ Forum), a national coalition of 42 environmental justice organizations across 24 states and the District of Columbia working together to advance climate justice and impact policy to ensure the health and well-being of communities of color and low-income communities throughout the U.S.",Yes,https://weact.org/programs/environmental-justice-leadership-forum/
USC Take Action,Union of Concerned Scientists (UCS),Letter writing,Letter writing and signing petitions,"An active mobilization platform where scientists and citizens lobby lawmakers, petition agencies, and advocate for science-based solutions to global issues.",Yes,https://www.ucs.org/take-action
Action Alerts and Petitions,American Lung Association (ALA),Letter writing,Letter writing and signing petitions,"American Lung Association (ALA) Action Alerts and Petitions program is an online advocacy platform. It lets people contact lawmakers and sign petitions to support clean air, fund lung disease research, and pass public health laws.",Yes,"https://www.lung.org/policy-advocacy/take-action/action-alerts?topic=healthy-air-advocacy,indoor-air-advocacy,outdoor-air-advocacy"
SUFS Petitions,Stand up for Science (SUFS),Letter writing,Petitions,"Dedicated citizen campaigns, hand-delivered declarations, and public comment actions to push back against political interference in research.",Yes,https://www.standupforscience.net/petitions
AGU Grassroots Actions,American Geophysical Union (AGU),Letter writing,Policy Maker Outreach and/or comment writing,"AGU Grassroots Actions refer to advocacy initiatives by the American Geophysical Union (AGU) that empower Earth and space scientists to contact legislators, support science-backed policies, and engage communities in local-to-global decision-making.",Yes,https://www.agu.org/science-policy/grassroots-action
Science Policy Toolbox,Advancing Earth and Space Sciences (AGU),Letter writing,Policy Maker Outreach and/or comment writing,"The AGU Science Policy initiative by the American Geophysical Union provides resources, toolkits, and training to help Earth and space scientists engage with lawmakers, write effective public comments, and advocate for science-informed policies.",Yes,https://www.agu.org/resource-center
Science In Democracy Initiative,ADDSTEAM,Network,,"The Science in Democracy initiative by ADDSTEAM is a national movement designed to make science and empirical evidence core components of public leadership and democratic policymaking. It encourages active civic participation during election cycles to ensure policy decisions around topics like health, climate, and technology are data-informed.",Yes,https://www.addsteam.org/
Lung Action Network,American Lung Association (ALA),Network,,"The Lung Action Network is a grassroots advocacy community run by the American Lung Association (ALA). It unites volunteers who receive periodic email alerts, updates, and action petitions to contact elected officials on public health policies regarding clean air, tobacco control, and lung disease prevention",Yes,https://www.lung.org/policy-advocacy/take-action/lung-action-network
ATS Stay Informed,American Thoracic Society (ATS),Newsletter,,"The ATS Washington Letter, written by the ATS government relations staff in our Washington, D.C., office, keeps clinicians, scientists, and patients abreast of legislative, judicial, and regulatory issues throughout the year.

The ATS Coding and Billing Quarterly, written by the joint ATS/CHEST Clinical Practice Committee, provides ATS members with information about coding, billing, and regulation compliance information for practicing pulmonary, critical care, and sleep medicine clinicians. The newsletter includes information on new and evolving CPT codes, ICD-10 codes, Medicare reimbursement policy, and regulatory news that impact the field of respiratory medicine.

The ATS Research News Quarterly, written by the ATS Research Advocacy Committee, offers interviews and insight from thought leaders at key federal research programs including the NIH, VA, EPA, and CDC.",Yes,https://site.thoracic.org/advocacy-patients/advocacy/stay-informed
Take Action Alerts,Earth Justice,Newsletter,,"Earthjustice Action Alerts are notification tools that inform the public about urgent environmental threats, upcoming federal agency public comment periods, and pending legislation. They provide direct ways for individuals to contact lawmakers and government agencies to support conservation and legal battles.",Yes,https://earthjustice.org/action/alerts
SUFS Protests,Stand up for Science (SUFS),Protests,,"Organizes nationwide rallies, walkouts, and protests to oppose federal funding cuts, policy changes, and political interference affecting scientific institutions and public health agencies under the Trump administration.",Yes,https://act.standupforscience.net/event_campaigns/fight-to-save-science-and-health?source=website&utm_source=website&utm_medium=homepage&utm_campaign=fightforscience
3.14 Action,3.14 Action,Run for Office,,"Recruits, trains, and elects Democratic candidates with backgrounds in STEM",Yes,https://www.314action.org/
Find your Members of Congress,Congress,Tool,,Identify who represents you in Congress based on where you live.,No,https://www.congress.gov/members/find-your-member
Science Votes for the Future,Advancing Earth and Space Sciences (AGU),Tool,,"Enter your information to check your voter registration status, find out when your primary elections are taking place, information on your candidates, and more.",Yes,https://sciencevotesthefuture.org/
